text,label
How do I make authentic carbonara pasta?,italian
What cheese is traditionally used in a Margherita pizza?,italian
Can you share a simple recipe for homemade risotto?,italian
How long should I cook lasagne in the oven?,italian
What is the difference between penne and rigatoni?,italian
How do I make tiramisu at home?,italian
What wine pairs well with osso buco?,italian
How do I get crispy skin on a chicken al mattone?,italian
What is the secret to perfect arancini?,italian
How do I make homemade guacamole?,mexican
What is the best type of tortilla for fish tacos?,mexican
How do I cook carnitas in a slow cooker?,mexican
What spices go into an authentic mole sauce?,mexican
How do I make fresh salsa verde?,mexican
Can you give me a recipe for chicken enchiladas?,mexican
What is the difference between a burrito and a chimichanga?,mexican
How do I make elote (Mexican street corn)?,mexican
What toppings are traditional on huevos rancheros?,mexican
How do I make tonkotsu ramen broth from scratch?,asian
What is the key to perfectly fluffy Japanese rice?,asian
How do I roll sushi at home without a mat?,asian
What vegetables work best in a stir-fry?,asian
How do I make pad thai at home?,asian
What is the difference between dim sum and dumplings?,asian
How do I make kimchi at home?,asian
Can you describe a simple recipe for congee?,asian
What sauce is traditionally used in Peking duck?,asian
How do I make a smash burger at home?,american
What wood chips are best for smoking brisket?,american
How do I make creamy mac and cheese from scratch?,american
What is the best way to make crispy fried chicken?,american
How do I make a classic New York cheesecake?,american
What cut of meat is best for pulled pork?,american
How do I make thick-cut onion rings?,american
What is the traditional recipe for clam chowder?,american
How do I season a cast-iron skillet properly?,american
How do I make hummus from scratch?,mediterranean
What herbs go into a traditional Greek salad?,mediterranean
How do I make falafel that holds together?,mediterranean
Can you share a shakshuka recipe?,mediterranean
What is the difference between tzatziki and labneh?,mediterranean
How do I make tabbouleh salad?,mediterranean
What is the secret to a good moussaka?,mediterranean
How do I grill halloumi without it sticking?,mediterranean
What goes into a traditional fattoush salad?,mediterranean
How do I make a fluffy French omelette?,breakfast
What is the trick to making perfect pancakes every time?,breakfast
How do I poach eggs so they keep their shape?,breakfast
Can you give me a recipe for homemade granola?,breakfast
How do I make avocado toast with a soft-boiled egg?,breakfast
What is the difference between a frittata and a quiche?,breakfast
How do I make eggs Benedict at home?,breakfast
Can you share a recipe for overnight oats?,breakfast
How do I make crispy hash browns from scratch?,breakfast
How do I make chocolate lava cake?,dessert
What is the secret to a smooth creme brulee?,dessert
